If You Can Dream,The Collection,Don McLean,171.8ø
Auf einer Wanderung,Seelenfeuer,Lunar Aurora,349.0ø
The Creeps,The Creeps,Ed Rush & Optical,349.1ø
Socom,Socom EP,Ed Rush & Optical,414.0ø
Rock Tha House,The Creeps,Ed Rush & Optical,377.1ø
Reach Out,The Creeps,Ed Rush & Optical,357.2ø
Pacman,The Creeps,Ed Rush & Optical,337.4ø
Gasmask,The Remixes Vol. 2,Ed Rush & Optical,353.5ø
Crash,Socom EP,Ed Rush & Optical,434.3ø
Check-Out Time,The Creeps,Ed Rush & Optical,401.4ø
Tell Me Do You Want My Love,The Very Best Of Love Songs,Imagination,331.4ø
I'll Always Love You,The Best Of,Imagination,233.7ø
Shadowman,Live,K's Choice,386.1ø
My Head,Live,K's Choice,216.7ø
Live For Real,Live,K's Choice,246.3ø
Busy,10,K's Choice,217.4ø
Another Year,Live,K's Choice,207.6ø
Almost Happy,Live,K's Choice,214.8ø
All,Live,K's Choice,224.3ø
We all need some light,SMPTe,Transatlantic,344.7ø
Mystery train,SMPTe,Transatlantic,411.9ø
Fellmaus,Lowflow,Thomas Fehlmann,363.3ø
Technicolour Skies,Air Formation,Air Formation,223.0ø
Seashine,Air Formation,Air Formation,187.7ø
Lunar,Air Formation,Air Formation,249.3ø
It Falls Away,Air Formation,Air Formation,233.4ø
Centre Of Gravity,Air Formation,Air Formation,199.9ø
All Is Fine,Air Formation,Air Formation,275.5ø
Reunited,Van Helsing,Alan Silvestri,263.4ø
Everything About You,Music From The Motion Picture What Women Want,Alan Silvestri,182.5ø
Sunday City Sequence,Compost Community,A Forest Mighty Black,358.9ø
Why Do You Cry?,Heart Of Steel,At Vance,325.5ø
The Brave And The Strong,Heart Of Steel,At Vance,292.6ø
S.O.S.,Heart Of Steel,At Vance,206.5ø
Princess Of The Night,Heart Of Steel,At Vance,383.8ø
Logical Song,No Escape,At Vance,230.9ø
King Of Your Dreams,Heart Of Steel,At Vance,296.8ø
Heart Of Steel,Heart Of Steel,At Vance,201.8ø
Goodbye,Heart Of Steel,At Vance,307.7ø
Don't You Believe A Stranger,Heart Of Steel,At Vance,212.6ø
Que Nadie Me Detenga,Te Dejas Ver,Mikel Erentxun,191.4ø
Proxima Estacion,Te Dejas Ver,Mikel Erentxun,211.1ø
Por No Decirte Adios,Te Dejas Ver,Mikel Erentxun,190.6ø
La Orilla De Carla,Te Dejas Ver,Mikel Erentxun,219.4ø
Facil,Te Dejas Ver,Mikel Erentxun,227.9ø
En Silencio,Te Dejas Ver,Mikel Erentxun,278.6ø
En Que Mujer,Te Dejas Ver,Mikel Erentxun,210.3ø
El Invierno Es Mujer,Te Dejas Ver,Mikel Erentxun,213.6ø
One In A Million,One In A Million,Bosson,214.0ø
