Peacetika,Old Gold (1989-91),Cows,252.4ø
I Can't Dance To Your Music,The Classic Gold Collection: 1967 - 1985,John Farnham,181.5ø
As Long As Life Goes On,The Classic Gold Collection: 1967 - 1985,John Farnham,283.5ø
Voice and the Vision,Give Us Barabas,Masters of Reality,218.3ø
Still On the Hill,Give Us Barabas,Masters of Reality,76.7ø
Brown House On the Green Road,Give Us Barabas,Masters of Reality,215.3ø
Bela Alef Rose,Give Us Barabas,Masters of Reality,208.7ø
Dub Yalil,Diaspora,Natacha Atlas,476.9ø
Alhambra Pt.1,Diaspora,Natacha Atlas,81.0ø
Words Without Meaning,Brotherhood,3T,239.6ø
With You,Brotherhood,3T,299.8ø
Why,Brotherhood,3T (Duet With Michael Jackson),320.3ø
WHAT WILL IT TAKE,FREE WILLY 2: THE ADVENTURE HOME  ORIGINAL MOTION PICTURE SOUNDTRACK,3T,317.2ø
Tease Me,Brotherhood,3T,328.4ø
Sexual Attention,Brotherhood,3T,249.3ø
Memories,Brotherhood,3T,272.5ø
I Need You,Brotherhood,3T,234.7ø
Give Me All Your Lovin',Brotherhood,3T,247.5ø
ANYTHING,Brotherhood,3T,321.0ø
24/7,Brotherhood,3T,278.7ø
Us And Them,The Moon Revisited,Enchant,464.2ø
The Thirst,Live At Last,Enchant,399.0ø
The Calling,A Blueprint Of The World,Enchant,376.5ø
Oasis,A Blueprint Of The World,Enchant,450.1ø
Nighttime Sky,A Blueprint Of The World,Enchant,518.8ø
Mae Dae,Live At Last,Enchant,203.9ø
Enchanted (acoustic) (bonustrack),A Blueprint Of The World,Enchant,396.7ø
Enchanted,A Blueprint Of The World,Enchant,446.0ø
East Of Eden,A Blueprint Of The World,Enchant,349.1ø
Changes,Tales From Yesterday - A View From The South Side Of The Sky,Enchant,377.1ø
At Death's Door,Live At Last,Enchant,435.4ø
Acquaintance,Live At Last,Enchant,424.6ø
Que No Lo Vendan,Las Maquetas,Lujuria,223.0ø
Estrella Del Porno,Las Maquetas,Lujuria,251.7ø
The Friendship Song (Hey Nena),The Peter Sarstedt Collection,Peter Sarstedt,265.9ø
The Artist,The Peter Sarstedt Collection,Peter Sarstedt,172.7ø
Open A Tin,The Peter Sarstedt Collection,Peter Sarstedt,173.1ø
When Joanna Loved Me,Easy Living,Paul Desmond;Jim Hall;Eugene Wright;Connie Kay,341.6ø
That Old Feeling,Easy Living,Paul Desmond,348.0ø
Polka Dots and Moonbeams,Easy Living,Paul Desmond,370.9ø
Easy Living,Two Of A Mind,Paul Desmond;Gerry Mulligan,422.1ø
Blues For Fun,Easy Living,Paul Desmond;Jim Hall;Connie Kay;Gene Cherico,387.3ø
Bewitched,Easy Living,Paul Desmond;Jim Hall;Connie Kay;Percy Heath,388.5ø
The Singer,16 Biggest Hits,Liza Minnelli,145.3ø
I'd Love You To Want Me,The Singer,Liza Minnelli,215.9ø
Enlightened Evolution,TIP 'The Story,Astral Projection,479.7ø
We Are Not Brothers,N. S. F. M. C (Not Suitable For Mass Consumption),Antiloop,403.7ø
Talkin' Love With Nature,N. S. F. M. C (Not Suitable For Mass Consumption),Antiloop,418.4ø
Polythene,N. S. F. M. C (Not Suitable For Mass Consumption),Antiloop,274.8ø
Democustico,The Best Of Mr Bongo,Marcos Valle,140.5ø
Shake Your Love  [Vocal-Club Mix],Greatest Hits,Debbie Gibson,358.8ø
Shake Your Love  (LP Version),Greatest Hits,Debbie Gibson,223.5ø
Out Of The Blue (LP Version),Greatest Hits,Debbie Gibson,237.0ø
Only In My Dreams (LP Version),Greatest Hits,Debbie Gibson,236.5ø
Anything Is Possible (LP Version),Greatest Hits,Debbie Gibson,226.7ø
Breaking the Chain,Vanguard Visionaries,Peter Case,208.6ø
Blind Luck,Who's Gonna Go Your Crooked Mile,Peter Case,256.3ø
Sexy Eyes,All In One,Whigfield,227.5ø
Out Of Sight,All In One,Whigfield,229.7ø
Last Christmas,Last Christmas - Single,Whigfield,483.9ø
Close To You,All In One,Whigfield,224.9ø
Big Time,Big Time - Single,Whigfield,415.6ø
I'm Confused (Album Version),Blonder And Blonder,The Muffs,220.8ø
Funny Face (Album Version),Blonder And Blonder,The Muffs,199.9ø
Agony (Album Version),Blonder And Blonder,The Muffs,147.1ø
Narcotic Prayer,Long Way Around: An Anthology 1991-2001,Chris Whitley,229.3ø
Guns & Dolls,Long Way Around: An Anthology 1991-2001,Chris Whitley,212.0ø
Can't Get Off,Long Way Around: An Anthology 1991-2001,Chris Whitley,248.1ø
Don't Stop,The Collection,Girlschool,80.6ø
Vida Imbecil,Pato Fu,Pato Fu,182.9ø
Spoc,Pato Fu,Pato Fu,250.0ø
Sobre O Tempo,Pato Fu,Pato Fu,207.5ø
Ring My Bell,Pato Fu,Pato Fu,196.0ø
Qualquer Bobagem,Pato Fu,Pato Fu,214.3ø
Onofle,Pato Fu,Pato Fu,268.7ø
Ob-La-Di-Ob-La-Da,Pato Fu,Pato Fu,68.3ø
Gol De Quem?,Pato Fu,Pato Fu,166.9ø
And Now,Pato Fu,Pato Fu,102.7ø
Unity,The Very Best Of Marc Antoine,Marc Antoine,336.5ø
Follow Your Bliss,The Very Best Of Marc Antoine,Marc Antoine,308.6ø
The Buffalo Skinners,Folk Classics (Roots Of American Folk Music),Ramblin' Jack Elliott,239.3ø
South Coast,Hard Travelin',Ramblin' Jack Elliott,241.9ø
Mule Skinner Blues,Country Style/Live,Ramblin' Jack Elliott,326.8ø
Until You Come Back To Me (That's What I'm Gonna Do),Basia On Broadway,Basia,279.0ø
Half A Minute,Basia On Broadway,Basia,236.9ø
Dzien Sie Budzi,Basia On Broadway,Basia,223.0ø
Suckas (Sucka DJ Dis),Return Of The DJ Vol. 1,DJ Babu,186.9ø
Walk with an Erection,Odyssee,J.B.O.,207.3ø
Symphonie Der Verstopfung,Odyssee,J.B.O.,241.3ø
Mir Sta'dd'n Etz Die Feier,Explizite Lyrik,J.B.O.,231.2ø
Lovegames,Screamin' Live,Pretty Maids,322.8ø
Sleeping With An Angel,Platinum & Gold Collection,Real McCoy,268.1ø
Ooh Boy,Platinum & Gold Collection,Real McCoy,185.9ø
Love and Devotion,Space Invaders,Mc Sar,271.1ø
Todo es de color,El origen de la leyenda,Lole y Manuel,282.7ø
Shortnin' Bread,Says My Heart,The Andrews Sisters,170.7ø
We Are The Dangerous,The Time Is Now,Electric Frankenstein,227.6ø
Too Much For You,The Time Is Now,Electric Frankenstein,230.3ø
Superstar,The Time Is Now,Electric Frankenstein,150.8ø
Rise And Crash,The Time Is Now,Electric Frankenstein,221.3ø
Right On Target,The Time Is Now,Electric Frankenstein,195.9ø
Fast & Furious,The Time Is Now,Electric Frankenstein,227.0ø
E.F. Theme,The Time Is Now,Electric Frankenstein,173.7ø
A Sweet Sickness,The Time Is Now,Electric Frankenstein,242.7ø
Tow Truck (Depth Charge Mix),Versus,The Sabres Of Paradise,391.6ø
Tow Truck (Depth Charge Mix II),Versus,The Sabres Of Paradise,314.4ø
Tow Truck (Chemical Brothers Mix),Versus,The Sabres Of Paradise,288.1ø
RSD,Sabresonic II,The Sabres Of Paradise,339.3ø
Planet D (Portishead Remix),Haunted Dancehall,The Sabres Of Paradise,281.2ø
Inter-Lergen-Ten-Ko II,Sabresonic II,The Sabres Of Paradise,536.7ø
Duke of Earlsfield (LFO Mix),Versus,The Sabres Of Paradise,387.7ø
Bubble & Slide (Nightmares On Wax Mix),Versus,The Sabres Of Paradise,390.3ø
Zero Frisco,Frankie Welfare Boy Age Five,Braid,86.5ø
Yawn London,Frankie Welfare Boy Age Five,Braid,182.2ø
X Marks the Hope Box,Frankie Welfare Boy Age Five,Braid,115.0ø
Wax Wings,Frankie Welfare Boy Age Five,Braid,69.7ø
Vest of Interest,Frankie Welfare Boy Age Five,Braid,127.5ø
Under the Influence of Tricycle Mechanics,Frankie Welfare Boy Age Five,Braid,166.5ø
Three Point Turn,Frankie Welfare Boy Age Five,Braid,113.8ø
Summer Salt,Frankie Welfare Boy Age Five,Braid,158.2ø
Red Dye Company,Frankie Welfare Boy Age Five,Braid,69.2ø
Quarters,Frankie Welfare Boy Age Five,Braid,154.8ø
Pipsqueak,Frankie Welfare Boy Age Five,Braid,184.0ø
Ornamental,Frankie Welfare Boy Age Five,Braid,189.7ø
New Dollar Building,Frankie Welfare Boy Age Five,Braid,145.1ø
Minuet,Frankie Welfare Boy Age Five,Braid,120.5ø
Lining Lake Michigan,Frankie Welfare Boy Age Five,Braid,148.3ø
Kissy Windmill Print,Frankie Welfare Boy Age Five,Braid,147.5ø
Jane Describes John,Frankie Welfare Boy Age Five,Braid,200.4ø
Interstate 57,Frankie Welfare Boy Age Five,Braid,108.9ø
Hugs From Boys,Frankie Welfare Boy Age Five,Braid,247.7ø
Garner Hall Music Room,Frankie Welfare Boy Age Five,Braid,135.9ø
Featherweight,Frankie Welfare Boy Age Five,Braid,160.8ø
Eeyore and Easel,Frankie Welfare Boy Age Five,Braid,208.7ø
Dolores,Frankie Welfare Boy Age Five,Braid,71.0ø
Capricorn,Lucky To Be Alive,Braid,246.5ø
Brass Knuckle Sandwich,Frankie Welfare Boy Age Five,Braid,213.2ø
Angel Falls,Frankie Welfare Boy Age Five,Braid,147.0ø
Showing It All To Bad Marie,Part-Timer Goes Full,The Mother Hips,348.0ø
Pet Foot,Part-Timer Goes Full,The Mother Hips,152.1ø
Bent Carousel,Part-Timer Goes Full,The Mother Hips,203.3ø
Been Lost Once,Part-Timer Goes Full,The Mother Hips,238.5ø
Puccini,Mistura Fina,John Patitucci,273.8ø
What I want,The Hit List,Raw Power,182.0ø
Fight,The Hit List,Raw Power,123.1ø
Words Of A Fool,Sweet F.A.,Love and Rockets,394.1ø
Your Love Is Working In My Life,My Place Is With You,Clay Crosse,292.8ø
Time To Believe,I Surrender All,Clay Crosse,250.3ø
His Love Is Strong,Time To Believe,Clay Crosse,246.7ø
What Do You Slaughter Next?,Scratch or Stitch,Melt-Banana,102.7ø
Test: Ground 1,Scratch or Stitch,Melt-Banana,30.7ø
Ten Dollars a Pile,Scratch or Stitch,Melt-Banana,59.0ø
Sick ZiP Everywhere,Scratch or Stitch,Melt-Banana,111.6ø
Scratch or Stitch!,Scratch or Stitch,Melt-Banana,62.1ø
Rough Dogs Have Bumps,Scratch or Stitch,Melt-Banana,109.3ø
Plot In a Pot,Scratch or Stitch,Melt-Banana,79.7ø
It's In the PillcaSe,Scratch or Stitch,Melt-Banana,90.4ø
IGUANA In Trouble,Scratch or Stitch,Melt-Banana,141.9ø
I HATe it!,Scratch or Stitch,Melt-Banana,58.4ø
EYE-Q trader,Scratch or Stitch,Melt-Banana,108.5ø
DisPosable Weathercock,Scratch or Stitch,Melt-Banana,103.6ø
Contortion Out of Confusion,Scratch or Stitch,Melt-Banana,99.8ø
BuZZer #P,Scratch or Stitch,Melt-Banana,106.8ø
Back To the WomB,Scratch or Stitch,Melt-Banana,166.4ø
Stardust,Jeepers Creepers,Ray Anthony,188.1ø
Watch your Ass (feat. Master P),TRUE,Tru,66.2ø
TRU Playaz (feat. Master P_ Silkk The Shocker_ Kind George_ Mr. Serv On and Big Ed),TRUE,Tru,281.2ø
Keep It Jumping (feat. Big Ed and Master P),TRUE,Tru,257.1ø
Keep It All Good (feat. Silkk The Shocker and Master P),TRUE,Tru,356.5ø
Another Day_ Another Dollar (feat. Sillk The Shocker and Master P),TRUE,Tru,240.0ø
Undercurrent,Souled Out,Tower Of Power,301.1ø
Taxed To The Max,Souled Out,Tower Of Power,259.0ø
Keep Comin' Back,Souled Out,Tower Of Power,227.1ø
Do You Wanna (Make Love To Me),Souled Out,Tower Of Power,231.2ø
Diggin' On James Brown,Soul Vaccination: Tower Of Power Live,Tower Of Power,293.3ø
The King Of Skin,The One Voted Most Likely To Succeed,SNFU,105.4ø
Manuel,The One Voted Most Likely To Succeed,SNFU,171.4ø
Lovely Little Frankenstein,The One Voted Most Likely To Succeed,SNFU,153.3ø
Eric's Had A Bad Day,The One Voted Most Likely To Succeed,SNFU,191.9ø
Bizarre Novelties,The One Voted Most Likely To Succeed,SNFU,86.5ø
Very Special (LP Version),2000,Grand Puba,313.1ø
Playin The Game (LP Version),2000,Grand Puba,272.9ø
Play It Cool (LP Version),2000,Grand Puba,252.7ø
I Like It (I Wanna Be Where You Are),2000,Grand Puba,263.5ø
Don't Waste My Time (LP Version),2000,Grand Puba,268.6ø
Change Gonna Come  (LP Version),2000,Grand Puba,188.3ø
Back Stabbers  (LP Version),2000,Grand Puba,305.9ø
Amazing  (LP Version),2000,Grand Puba,242.0ø
A Little Of This  (LP Version),2000,Grand Puba,220.4ø
2000  (LP Version),2000,Grand Puba,215.2ø
Westbound Train,Studio One Soul 2,Jacob Miller,180.8ø
It's a Big Wide Wonderful World,The Lost Episode,Les Baxter,250.0ø
Chopsticks,The Lost Episode,Les Baxter,224.8ø
The Way You Look Tonight,Father Of The Bride,Steve Tyrell,186.6ø
Atmosfear,Decade,Waltari,266.0ø
Stay By My Side,On And On,Fiddler's Green,202.9ø
Going Home,Hope Floats,Dave Grusin,203.3ø
Toti al soler,L'argot du bruit,Pascal Comelade,312.6ø
Va Maintenant,Differente,Maurane,243.3ø
Un Amour Sans Parole,Differente,Maurane,167.8ø
Manies Manigances,Differente,Maurane,172.2ø
Lou Dans L'Aquarium,Differente,Maurane,231.9ø
Juste Une Petite Fille,Differente,Maurane,263.7ø
Michael Myers,From Zorch With Love,The Meteors,247.0ø
Give Me The Night,VELVET JAZZ III,Randy Crawford,308.4ø
Come Into My Life,VELVET LOVE,Randy Crawford,432.1ø
The Yearn,Legal Drug Money,Lost Boyz,229.1ø
Straight From Da Ghetto,Legal Drug Money,Lost Boyz,226.6ø
Renee,Legal Drug Money,Lost Boyz,293.9ø
Music Makes Me High,Legal Drug Money,Lost Boyz,271.0ø
Lifestyles Of The Rich And Shameless,Legal Drug Money,Lost Boyz,260.8ø
Legal Drug Money,Legal Drug Money,Lost Boyz,339.7ø
Keep It Real,Legal Drug Money,Lost Boyz,251.0ø
Jeeps_ Lex Coups_ Bimaz & Benz,Legal Drug Money,Lost Boyz,272.5ø
Is This Da Part,Legal Drug Money,Lost Boyz,225.0ø
Get Up,Legal Drug Money,Lost Boyz,243.8ø
Da Game,Legal Drug Money,Lost Boyz,223.1ø
Channel Zero,Legal Drug Money,Lost Boyz,337.3ø
Soup Or No Soup,Radar,Earthling,404.6ø
Nefisa (Portishead Mix),Off The Radar,Earthling,341.4ø
Nefisa (Electronique),Off The Radar,Earthling,329.2ø
Nefisa,Radar,Earthling,353.5ø
God's Interlude,Radar,Earthling,63.0ø
Freak Freak,Radar,Earthling,222.7ø
Echo On My Mind Part II (Main Mix),Off The Radar,Earthling,377.3ø
Echo On My Mind (Starmix),Off The Radar,Earthling,328.5ø
Echo On My Mind,Radar,Earthling,418.7ø
By Means Of Beams,Radar,Earthling,304.2ø
Ananada's Theme,Radar,Earthling,189.0ø
Gloria De Domino Inferni,Passage to Arcturo + Non Serviam,Rotting Christ,97.5ø
Yodelling Song,Lovers In The City,Tanita Tikaram,214.6ø
Lovers In The City,Lovers In The City,Tanita Tikaram,385.0ø
Leaving The Party,Lovers In The City,Tanita Tikaram,427.1ø
Happy Taxi,Lovers In The City,Tanita Tikaram,340.3ø
Bloodlines,Lovers In The City,Tanita Tikaram,252.7ø
Somewhere Somehow,Best Of,Wet Wet Wet,231.5ø
Someone Like You,Picture This,Wet Wet Wet,229.3ø
She's All On My Mind,Best Of,Wet Wet Wet,236.3ø
She Might Never Know,Picture This,Wet Wet Wet,284.7ø
Morning,Best Of,Wet Wet Wet,232.8ø
Love Is My Shepherd,Picture This,Wet Wet Wet,202.0ø
Julia Says,Best Of,Wet Wet Wet,241.6ø
Home Tonight,Picture This,Wet Wet Wet,247.8ø
Gypsy Girl,Picture This,Wet Wet Wet,131.3ø
Don't Want To Forgive Me Now,Picture This,Wet Wet Wet,176.9ø
After The Love Goes,Picture This,Wet Wet Wet,232.0ø
Pulp Fiction,MDZ03 - No Smoke Without Fire,Alex Reece,425.1ø
Vampire Empire,Wenches_ Wytches And Vampyres: The Very Best Of Two Witches 1987-1999,Two Witches,336.5ø
The Angel Of Pain,Saints & Sinners,Two Witches,198.9ø
Requiem,Wenches_ Wytches And Vampyres: The Very Best Of Two Witches 1987-1999,Two Witches,290.5ø
Naughty,Bites & Kisses,Two Witches,301.4ø
My Own,Bites & Kisses,Two Witches,318.8ø
Twilight Cruiser,Twilight Cruiser,Kingdom Come,397.1ø
Thank You All,Twilight Cruiser,Kingdom Come,233.7ø
Should Have Known,Twilight Cruiser,Kingdom Come,271.1ø
Rather Be On My Own,Twilight Cruiser,Kingdom Come,179.6ø
Law of Emotions,Twilight Cruiser,Kingdom Come,241.1ø
Janine,Twilight Cruiser,Kingdom Come,261.6ø
I Don't Care,Live & Unplugged,Kingdom Come,327.6ø
Hope Is On Fire,Twilight Cruiser,Kingdom Come,193.0ø
Gonna Change,Twilight Cruiser,Kingdom Come,225.4ø
Cold Ground,Twilight Cruiser,Kingdom Come,256.0ø
Can't Put Out and Not Take Back,Twilight Cruiser,Kingdom Come,258.9ø
Always On the Run,Live & Unplugged,Kingdom Come,254.1ø
Stand Out,The Goofy Movie Original Sound Track,Tevin Campbell,181.6ø
Vern's Answer To The Masses,The Future of What,Unwound,38.9ø
Swan,The Future of What,Unwound,478.3ø
Re-Enact The Crime,The Future of What,Unwound,162.8ø
Petals Like Bricks,The Future of What,Unwound,142.2ø
Pardon My French,The Future of What,Unwound,90.6ø
New Energy,The Future of What,Unwound,117.0ø
Natural Disasters,The Future of What,Unwound,195.3ø
Here Come The Dogs,The Future of What,Unwound,126.3ø
Equally Stupid,The Future of What,Unwound,186.5ø
Disappoint,The Future of What,Unwound,317.9ø
Descension,The Future of What,Unwound,259.5ø
Demolished,The Future of What,Unwound,169.4ø
Bonus Track,The Future of What,Unwound,162.0ø
Accidents On Purpose,The Future of What,Unwound,115.6ø
White Slave,Hed Phone Sex,Funki Porcini,165.3ø
Tiny Kangeroo Dolphin (from Hell),Hed Phone Sex,Funki Porcini,74.6ø
The Softest Thing In The World (Motorway Accident),Hed Phone Sex,Funki Porcini,369.5ø
The Deep,Hed Phone Sex,Funki Porcini,541.7ø
Suck Acid Pearl  Dean,Hed Phone Sex,Funki Porcini,418.7ø
Something Wonderful,Hed Phone Sex,Funki Porcini,441.1ø
Poseathon,Hed Phone Sex,Funki Porcini,339.4ø
Pork Albumen,Hed Phone Sex,Funki Porcini,152.0ø
Michael's Little Friend,Hed Phone Sex,Funki Porcini,33.0ø
Long Road,Hed Phone Sex,Funki Porcini,483.9ø
King Ashabanapal Pt. 2,Hed Phone Sex,Funki Porcini,274.0ø
King Ashabanapal Pt. 1,Hed Phone Sex,Funki Porcini,445.2ø
King Ashabanapal (Plaid Mix),Hed Phone Sex,Funki Porcini,418.5ø
King Ashabanapal (Dillinja Mix),Hed Phone Sex,Funki Porcini,314.8ø
King Ashabanapal (Digidub Mix),Hed Phone Sex,Funki Porcini,320.2ø
It's A Long Road,Ninja Cuts - Funkjazztical Tricknology,Funki Porcini,267.6ø
Hyde Park,Love Pussycats & Carwrecks,Funki Porcini,458.5ø
Farewell Alice,Hed Phone Sex,Funki Porcini,232.1ø
Dubble,Hed Phone Sex,Funki Porcini,396.8ø
B Monkey,Hed Phone Sex,Funki Porcini,441.9ø
A Word of Vice,Hed Phone Sex,Funki Porcini,45.5ø
Sword Of Steel,Lost In Time - The Early Years Of Nocturnal Rites,Nocturnal Rites,201.1ø
Skyline Flame,Lost In Time - The Early Years Of Nocturnal Rites,Nocturnal Rites,326.7ø
Rest In Peace,Lost In Time - The Early Years Of Nocturnal Rites,Nocturnal Rites,215.0ø
Lay Of Ennui,Lost In Time - The Early Years Of Nocturnal Rites,Nocturnal Rites,298.8ø
Dawnspell,Lost In Time - The Early Years Of Nocturnal Rites,Nocturnal Rites,336.5ø
Black Death,Lost In Time - The Early Years Of Nocturnal Rites,Nocturnal Rites,244.4ø
Long Way Down,Musically Incorrect,Y&T,431.6ø
Yesterday Cried (Album Version),Down By The Old Mainstream,Golden Smog,237.7ø
Won't Be Coming Home,Stay Golden_ Smog: The Best Of Golden Smog - The Ryko Years,Golden Smog,216.6ø
Williamton Angel (Album Version),Down By The Old Mainstream,Golden Smog,205.5ø
Walk Where He Walked (Album Version),Down By The Old Mainstream,Golden Smog,169.0ø
She Don't Have To See You (Album Version),Down By The Old Mainstream,Golden Smog,241.0ø
Red Headed Stepchild,Stay Golden_ Smog: The Best Of Golden Smog - The Ryko Years,Golden Smog,188.1ø
Radio King,Stay Golden_ Smog: The Best Of Golden Smog - The Ryko Years,Golden Smog,191.2ø
Pecan Pie,Stay Golden_ Smog: The Best Of Golden Smog - The Ryko Years,Golden Smog,174.3ø
Nowhere Bound (Album Version),Down By The Old Mainstream,Golden Smog,228.5ø
Ill Fated,Stay Golden_ Smog: The Best Of Golden Smog - The Ryko Years,Golden Smog,222.7ø
He's A Dick,Stay Golden_ Smog: The Best Of Golden Smog - The Ryko Years,Golden Smog,168.1ø
Friend (Album Version),Down By The Old Mainstream,Golden Smog,342.6ø
Believe Me,In Europa,Sol Invictus,239.2ø
"Texas Bound And Flyin'  (From The Motion Picture ""Smokey And The Bandit II"")",The Essential Jerry Reed,Jerry Reed,200.2ø
Lord_ Mr. Ford,The Essential Jerry Reed,Jerry Reed,197.0ø
Bluegrass,Jerry Reed Explores Guitar Country,Jerry Reed,110.4ø
Your Last Goodbye,The Essential Floyd Cramer,Floyd Cramer,145.6ø
Lovesick Blues,The Essential Floyd Cramer,Floyd Cramer,125.7ø
I'm So Lonesome I Could Cry,The Essential Floyd Cramer,Floyd Cramer,128.5ø
Drown In My Own Tears,RCA Country Legends: Floyd Cramer,Floyd Cramer,150.3ø
Corrine Corrina,The Essential Floyd Cramer,Floyd Cramer,153.5ø
All Keyed Up,The Essential Floyd Cramer,Floyd Cramer,126.1ø
Desert Walk,Dash Rip Rock Live at Schubas 08/13/2005,Dash Rip Rock,258.0ø
(Let's Go) Smoke Some Pot,Hits And Giggles,Dash Rip Rock,136.6ø
Storm In A Tea Cup,The Fortunes Greatest Hits,The Fortunes,209.7ø
You're Dummin',Brothas Doobie,Funkdoobiest,263.6ø
XXX Funk,Brothas Doobie,Funkdoobiest,235.9ø
Who Ra Ra,Brothas Doobie,Funkdoobiest,173.9ø
What The Deal,Brothas Doobie,Funkdoobiest,240.8ø
Tomahawk Bang,Brothas Doobie,Funkdoobiest,237.1ø
This Is It,Brothas Doobie,Funkdoobiest,85.4ø
Superhoes,Brothas Doobie,Funkdoobiest,231.8ø
Pussy Ain't Shit,Brothas Doobie,Funkdoobiest,265.4ø
Lost In Thought,Brothas Doobie,Funkdoobiest,219.5ø
Ka Sera Sera,Brothas Doobie,Funkdoobiest,178.7ø
It Ain't Going Down,Brothas Doobie,Funkdoobiest,195.3ø
Dedicated,Brothas Doobie,Funkdoobiest,271.1ø
Windstill,Nachtvorstellung - Die Hits Live Vol. 1,Keimzeit,254.6ø
Urwaldnashorn,Primeln und Elefanten,Keimzeit,85.0ø
Lisa,Primeln und Elefanten,Keimzeit,185.8ø
Donau-Angler,Primeln und Elefanten,Keimzeit,243.1ø
Die Achse,Primeln und Elefanten,Keimzeit,169.3ø
Comedy,Primeln und Elefanten,Keimzeit,218.6ø
Bergholz - Bergholz,Primeln und Elefanten,Keimzeit,251.0ø
83,Primeln und Elefanten,Keimzeit,177.0ø
Somebody Loves Me,Erroll Garner,Erroll Garner,162.1ø
Windows (Single Version),Steps,Snapcase,154.5ø
Steps (Single Version),Steps,Snapcase,192.9ø
Run And Fall (Single Version),Steps,Snapcase,279.6ø
Cognition (Single Version),Steps,Snapcase,184.8ø
Vestida De Blanco,Amor Eterno,Rocio Durcal,200.4ø
Frases Hechas,Hay Amores Y Amores,Rocio Durcal,269.6ø
De Menos A Mas,Hay Amores Y Amores,Rocio Durcal,262.8ø
Culpa De Un Palomo,Hay Amores Y Amores,Rocio Durcal,190.2ø
Corazon Sufrido,Hay Amores Y Amores,Rocio Durcal,187.4ø
Tonight I Met An Angel,Wimoweh!!! - The Best Of The Tokens,The Tokens,118.3ø
Captain Jack,The Race,Captain Jack,199.6ø
Demolition Joyride,The Time Is Now,Electric Frankenstein,170.7ø
Fly (Radio Version),Fly (Through The Starry Night),2 Brothers On The 4th Floor,208.3ø
Fly (Extended Version),Fly (Through The Starry Night),2 Brothers On The 4th Floor,305.7ø
Fly (Beats 'R' Us Mix),Fly (Through The Starry Night),2 Brothers On The 4th Floor,374.1ø
Come Take My Hand (Radio Version),Best of,2 Brothers On The 4th Floor,311.3ø
Come Take My Hand (K & A's Happy Hardcore Blast),Come Take My Hand,2 Brothers On The 4th Floor,338.2ø
Come Take My Hand (Cooly's Jungle Mix),Come Take My Hand,2 Brothers On The 4th Floor,322.3ø
The Family Who Prays,I Saw the Light: White Spirituals & Country Gospel - Roots Collection Vol. 12,The Louvin Brothers,173.6ø
The Boy's Doin' It,Black To The Future,Hugh Masekela,345.5ø
Super Trouper,The ABBA Generation,A*Teens,230.7ø
Your Mama Won'T Like Me,What Goes Around,Suzi Quatro,236.3ø
What Goes Around,What Goes Around,Suzi Quatro,273.1ø
Make Love To Me,What Goes Around,Suzi Quatro,275.7ø
Empty Rooms,What Goes Around,Suzi Quatro,228.2ø
Born To Run,What Goes Around,Suzi Quatro,301.2ø
Where Do We Go From Here,Country boxset,Don Williams,174.2ø
We're All the Way,The Journey,Don Williams,158.4ø
There's Never Been A Time,Spend Some Time With Me,Don Williams,169.5ø
Take My Hand For A While,Country And Western - Volume 1,Don Williams,135.1ø
Storybook Children,Spend Some Time With Me,Don Williams,149.8ø
Spend Some Time With Me,Spend Some Time With Me,Don Williams,146.7ø
Ruby Tuesday,Connected By Lennon & McCartney,Don Williams,181.1ø
In the Family,Live - Greatest Hits Volume Two,Don Williams,173.1ø
Follow Me Back To Louisville,Don Williams & Pozo Seco Singers Selected Hits,Don Williams and Pozo Seco Singers,153.5ø
Back In My Younger Days,Live - Greatest Hits Volume Two,Don Williams,196.0ø
Willy The Wandering Gypsy And Me,The Best Of,Tom T. Hall,145.0ø
Old Five And Dimers Like Me,The Best Of,Tom T. Hall,175.2ø
Margie's At The Lincoln Park Inn,The Best Of,Tom T. Hall,201.4ø
Fox On The Run,The Definitive Collection,Tom T. Hall,125.2ø
Deal,The Definitive Collection,Tom T. Hall,153.0ø
Wild Seed (Album Version),Wild Seed,Morten Harket,288.5ø
Tell Me What You See (Album Version),Wild Seed,Morten Harket,290.3ø
Stay (Album Version),Wild Seed,Morten Harket,209.8ø
Spanish Steps (Album Version),Wild Seed,Morten Harket,247.5ø
Ready To Go Home (Album Version),Wild Seed,Morten Harket,272.4ø
Los Angeles (Album Version),Wild Seed,Morten Harket,267.0ø
Lord (Album Version),Wild Seed,Morten Harket,226.6ø
Lay Me Down Tonight (Album Version),Wild Seed,Morten Harket,137.7ø
Half In Love Half In Hate (Album Version),Wild Seed,Morten Harket,285.1ø
East Timor (Album Version),Wild Seed,Morten Harket,252.4ø
Brodsky Tune (Album Version),Wild Seed,Morten Harket,264.3ø
A Kind Of Christmas Card (Album Version),Wild Seed,Morten Harket,246.8ø
Walk Tall,Life Think It Over,Count Basic,258.1ø
Strange Life,Life Think It Over,Count Basic,316.2ø
M.L. In The Sunshine,Life Think It Over,Count Basic,276.0ø
Joy_ Peace & Happiness,Life Think It Over,Count Basic,249.2ø
Is It Real,Best Of,Count Basic,226.5ø
Healer,Life Think It Over,Count Basic,266.0ø
Animal Print,Life Think It Over,Count Basic,316.4ø
You Have Caught Me,Let's Do Rocksteady: The Story Of Rocksteady 1966-68,The Melodians,192.5ø
